Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude,Max_Temperature_C,Precipitation_mm
2019-04-22,2018,Farmington,12 LILAC LA,151880.0,220000.0,0.6903,Condo,Condo,-73.3487197,41.203871,17.4,15.6
2019-04-22,2018,East Haven,626 MAIN ST,73920.0,151000.0,0.4895,,,-72.8472683,41.5226588,16.5,14.9
2019-04-08,2018,Torrington,331 LEDGE DR,57850.0,70000.0,0.8264,Condo,Condo,-73.109155,41.8759883,12.8,10.0
2019-04-01,2018,Bozrah,6 HICKORY LA,104890.0,218000.0,0.481146789,Single Family,Single Family,-73.0416638,41.3308138,6.9,0.0
2019-04-01,2018,East Windsor,44 OLD ELLINGTON RD,636220.0,427000.0,1.4899,,,-72.556641,41.9104863,6.5,0.0
2019-04-01,2018,Berlin,242 MIDDLETOWN ROAD,142900.0,194000.0,0.7365,Single Family,Single Family,-72.7390121,41.6147831,7.3,0.0
2019-04-29,2018,Bloomfield,5 JUNIPER RD,391160.0,550000.0,0.7112,Single Family,Single Family,-72.7708971,41.8268806,15.4,0.0
2019-04-15,2018,New Britain,69 BLACK ROCK AVE,106050.0,247000.0,0.4293,Two Family,Two Family,-72.8006171,41.6639978,18.2,19.0
2019-04-29,2018,Bristol,57-59 DIVINITY ST,120400.0,132600.0,0.907993967,Two Family,Two Family,-72.9579522,41.6706572,14.8,0.0
2019-04-29,2018,Bridgeport,74 OLIVE ST,76390.0,90000.0,0.8487,Two Family,Two Family,-73.20393,41.17807,13.0,0.0
2019-04-22,2018,Clinton,118 GLENWOOD RD,150900.0,240000.0,0.6287,Single Family,Single Family,-72.5227887,41.3009297,16.6,18.4
2019-04-15,2018,Fairfield,101 RIDGEDALE ROAD,278460.0,540000.0,0.5156,Single Family,Single Family,-73.259945,41.178559,16.7,18.5
2019-04-22,2018,Branford,14 INDIAN WOODS RD,229000.0,320000.0,0.7156,Single Family,Single Family,-72.789048,41.2771272,16.1,17.6
2019-04-15,2018,Newington,52 AVERY RD,125880.0,216300.0,0.5819,Single Family,Single Family,-72.74861,41.71872,18.2,17.6
2019-04-08,2018,Glastonbury,57 AUTUMN LN,377900.0,540000.0,0.6998,Condo,Condo,-72.56569,41.69629,12.8,8.9
2019-04-08,2018,Greenwich,9 LAFAYETTE COURT,0.0,2500000.0,0.0,Condo,Condo,-73.6279366,41.0310463,22.6,10.3
2019-04-01,2018,Durham,30 IVY WAY,333270.0,390000.0,0.8545,Single Family,Single Family,-72.6885679,41.4371214,7.2,0.0
2019-04-29,2018,Bloomfield,3 BREEZY KNOLL DR,244580.0,380000.0,0.6436,Single Family,Single Family,-72.7494368,41.8413716,15.5,0.0
2019-04-01,2018,Ansonia,40 BASSETT ST,135900.0,235000.0,0.5782,Two Family,Two Family,-72.9531204,41.2646627,7.5,0.0
2019-04-01,2018,Fairfield,118 LUCILLE STREET,513870.0,675000.0,0.7612,Single Family,Single Family,-73.2475093,41.1916624,7.0,0.0
2019-04-22,2018,Branford,279 NO MAIN ST,145100.0,196000.0,0.7403,Single Family,Single Family,-72.6822665,41.76414,17.4,20.6
2019-04-01,2018,Bristol,1469 FARMINGTON AVE UN45G,81200.0,182500.0,0.4449,Condo,Condo,-72.89425,41.69945,6.1,0.0
2019-04-22,2018,New Britain,39 CAMBRIDGE ST,77980.0,187000.0,0.417005348,Single Family,Single Family,-72.7303553,41.7304435,17.4,20.4
2019-04-29,2018,Manchester,135 PORTER STREET,116500.0,207500.0,0.5614,Single Family,Single Family,-72.6196291,41.7294915,16.1,0.0
2019-04-01,2018,Manchester,33 JENNY CLIFF,193900.0,300000.0,0.6463,Single Family,Single Family,-72.4742899,41.7569331,5.6,0.0
2019-04-29,2018,Brookfield,8 WHITE PINE DR,229950.0,399999.0,0.5748,Single Family,Single Family,-73.386867,41.4585577,14.2,0.0
